name,owner,language,size,updated_on,created_on,scm
tweakmsg,phlogistonjohn,,7085,2012-06-24T17:32:27.458855+00:00,2008-06-25T00:53:00.273366+00:00,hg
new,ape_hand,,3091,2012-06-24T17:34:03.538784+00:00,2008-06-25T11:56:52.174489+00:00,hg
stellaris,mikael,,3109,2012-06-24T17:36:12.810769+00:00,2008-07-02T20:31:45.240046+00:00,hg
libdodo,Niam,,60253399,2012-06-24T17:36:45.602876+00:00,2008-07-04T09:51:46.813635+00:00,hg
cx,jespern,,1129999,2011-09-17T03:14:11.884090+00:00,2008-07-07T13:59:28.914048+00:00,hg
fhtmlmps,vetler,,17122,2012-06-24T17:36:50.976220+00:00,2008-07-07T19:22:21.403996+00:00,hg
ovsga,rom1,,32303,2012-06-22T21:55:03.256881+00:00,2008-07-09T12:39:11.233682+00:00,hg
FreeBSD,z19,,3097,2012-06-22T21:55:15.276435+00:00,2008-07-10T12:31:38.599304+00:00,hg
mercurial-crew,mirror,,70080014,2014-07-12T06:01:30.671847+00:00,2008-07-11T12:26:41.808728+00:00,hg
Squash,DeadWisdom,,817799,2012-06-23T00:10:30.800770+00:00,2008-07-11T21:21:47.851223+00:00,hg
cpp-unit-test,bebac,,20377,2012-06-24T17:36:51.485049+00:00,2008-07-12T05:19:37.079839+00:00,hg
app-template,bebac,c++,71548,2011-10-05T15:36:19.409008+00:00,2008-07-12T07:44:01.476818+00:00,hg
mercurialeclipse,bastiand,,6445145,2011-09-17T02:36:59.062596+00:00,2008-07-12T09:37:06.254721+00:00,hg
sandboxpublic,aleax,,3120,2012-06-22T21:55:28.753727+00:00,2008-07-14T01:59:23.568048+00:00,hg
otrsfix-ng,adiakin,,153786,2012-06-22T21:55:34.175307+00:00,2008-07-15T06:14:39.306314+00:00,hg
pida-pypaned,aafshar,,4680652,2012-06-22T21:55:42.451431+00:00,2008-07-16T22:47:38.682491+00:00,hg
TLOMM-testing,tgrimley,,3128,2012-06-22T21:55:46.627825+00:00,2008-07-18T21:05:17.750587+00:00,hg
test,tingle,,3090,2012-06-22T21:55:49.860564+00:00,2008-07-18T22:24:31.984981+00:00,hg
Repository,Shaze,,3052,2012-06-22T21:55:51.570502+00:00,2008-07-18T22:39:51.380134+00:00,hg
rforce,undees,,332586,2014-07-28T01:48:36.942707+00:00,2008-07-19T06:16:43.044743+00:00,hg
freeCritters,eurleif,,565825,2012-06-22T21:56:24.031548+00:00,2008-07-19T19:53:07.031845+00:00,hg
cx-patches,jespern,,3992,2012-06-22T21:56:27.302195+00:00,2008-07-20T16:47:40.611172+00:00,hg
raliux,raliux,,3096,2012-06-24T17:38:36.987351+00:00,2008-07-20T20:32:11.124021+00:00,hg
